Nuts,ETER_ID,INST_NAME,REF_YEAR,LEGAL_STAT,FOUND_YEAR,GRAD_ISCED8,R&D_EXP,RES_MOB,COOP_RES,TOT_INC_STUD,TOT_OUT_STUD,INC_STAFF,OUT_STAFF,TOT_ACC_STAFF,FOR_ACC_STAFF,STUD_ENR_I8,TOT_EXP,TOT_REV,CORE_BUDG,TOT_STAFF,TOT_RES,TOT_STUD_ENR
FRG0,FR0086,École supérieure des beaux-arts de Nantes Métropole,2017,0.0,1904.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRG0,FR0087,Université de Nantes,2017,0.0,1961.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,33952.0
FRG0,FR0088,Institut régional d'administration de Nantes,2017,0.0,1972.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRG0,FR0091,École supérieure du bois,2017,1.0,1934.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRB0,FR0092,Université d'Orléans,2017,0.0,1971.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,14975.0
FRB0,FR0093,École supérieure d'art et de design d'Orléans,2017,0.0,1976.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRI1,FR0094,École nationale d'administration pénitentiaire,2017,0.0,1977.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRG0,FR0095,École régionale des beaux-arts d'Angers,2017,0.0,1795.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRG0,FR0096,École supérieure d'agriculture d'Angers,2017,1.0,1898.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRG0,FR0097,École supérieure d'électronique de l'Ouest,2017,1.0,1956.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRG0,FR0098,Université catholique de l'Ouest,2017,1.0,1875.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0
FRG0,FR0099,Université d'Angers,2017,0.0,1971.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,21523.0
FRG0,FR0100,École supérieure angevine en informatique et productique,2017,1.0,1987.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRF2,FR0101,École supérieure d'art et de design de Reims,2017,0.0,1748.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRF2,FR0102,Université de Reims Champagne-Ardenne,2017,0.0,1967.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,21357.0
FRF3,FR0103,École nationale supérieure d'architecture de Nancy,2017,0.0,1969.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRF3,FR0104,École nationale supérieure d'art de Nancy,2017,0.0,1708.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRF3,FR0105,Université de Lorraine,2017,0.0,2012.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,55113.0
FRH0,FR0106,École spéciale militaire de Saint-Cyr,2017,0.0,1802.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRH0,FR0107,École militaire interarmes,2017,0.0,1961.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRH0,FR0108,Université de Bretagne-Sud,2017,0.0,1995.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,7850.0
FRF3,FR0110,Institut régional d'administration de Metz,2017,0.0,1973.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRF3,FR0111,École supérieure d'ingénieurs des travaux de la construction de Metz,2017,1.0,1992.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRE1,FR0112,École nationale supérieure de chimie de Lille,2017,0.0,1894.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,350.0
FRE1,FR0113,École nationale supérieure d'architecture et de paysage de Lille,2017,0.0,1966.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRE1,FR0114,École nationale supérieure des arts et industries textiles,2017,0.0,1881.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,354.0
FRE1,FR0116,École nationale supérieure des mines de Douai,2017,0.0,1878.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRE1,FR0117,Groupe Institut supérieur d'agriculture de Lille,2017,1.0,1963.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRE1,FR0118,Institut catholique de Lille,2017,1.0,1875.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0
FRE1,FR0119,Institut supérieur de l'électronique et du numérique Lille,2017,1.0,1956.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRE1,FR0120,Hautes études d'ingénieur,2017,1.0,1885.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
FRE1,FR0121,École centrale de Lille,2017,0.0,1872.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1558.0
FRE1,FR0122,Université de Valenciennes et du Hainaut-Cambrésis,2017,0.0,1964.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,11082.0
