ETER ID,Institution Name,Reference year,Country Code,Legal status,Institution Category standardized,Total staff (FTE),Total academic staff (FTE),Total students enrolled ISCED 5-7,R1,R2,Flag R1,Flag R2,Total academic staff (HC),Total staff (HC),R1a,R2a,Flag R1a,Flag R2a
AT0028,Anton Bruckner Privatuniversität,2016,AT,private,uas,158.85,125.58,553.2,4.405160057333972,0.7905571293673277,0,0,622.0,,0.8893890675241158,,1,0
AT0030,NDU New Design University Privatuniversität St. Pölten,2016,AT,private,uas,35.18,20.88,315.67,15.11829501915709,0.5935190449118817,0,0,159.0,,1.9853459119496857,,1,2
AT0031,Musik und Kunst Privatuniversität der Stadt Wien,2016,AT,private,uas,194.68,163.02,540.87,3.3178137651821857,0.8373741524553113,1,1,961.0,,0.5628199791883455,,1,1
AT0032,Sigmund Freud Privatuniversität Wien,2016,AT,private,uas,191.34,120.75,2739.18,22.68472049689441,0.6310755722797114,0,0,628.0,,4.361751592356688,,1,0
AT0033,MODUL University Vienna,2016,AT,private,uas,111.7,49.28,332.83,6.753855519480518,0.44118173679498657,0,1,1056.0,,0.31517992424242425,,1,0
AT0034,Privatuniversität Schloss Seeburg,2016,AT,private,uas,27.51,15.48,431.5,27.87467700258398,0.5627044711014176,2,0,700.0,,0.6164285714285714,,0,0
AT0035,Private Pädagogische Hochschule Stiftung Burgenland,2016,AT,private,uni,,49.74,642.17,12.910534780860472,,0,0,1386.0,,0.4633261183261183,,1,0
AT0036,Pädagogische Hochschule Kärnten,2016,AT,public,uni,,72.44,766.34,10.578961899503037,,0,0,795.0,,0.9639496855345911,,0,0
AT0037,Pädagogische Hochschule Niederösterreich,2016,AT,public,uni,,105.05,2607.91,24.82541646834841,,0,0,2156.0,,1.2096057513914655,,1,0
AT0038,Pädagogische Hochschule Oberösterreich,2016,AT,public,uni,,140.36,1976.53,14.081860929039607,,0,0,121.0,,16.33495867768595,,0,0
AT0039,Private Pädagogische Hochschule der Diözese Linz,2016,AT,private,uni,,112.36,1541.9,13.722855108579564,,0,0,640.0,,2.40921875,,0,0
AT0040,Pädagogische Hochschule Salzburg Stefan Zweig,2016,AT,public,uni,,87.64,835.65,9.535029666818804,,0,0,409.0,,2.0431540342298287,,0,0
AT0041,Pädagogische Hochschule Steiermark,2016,AT,public,uni,,118.91,1911.16,16.072323606088634,,0,0,,,,,0,0
AT0042,Kirchliche Pädagogische Hochschule der Stiftung der Diözese Graz-Seckau,2016,AT,private,uni,,57.99,692.22,11.936885669943091,,0,0,,,,,0,0
AT0043,Pädagogische Hochschule Tirol,2016,AT,public,uni,,112.3,1181.35,10.519590382902939,,0,0,,,,,0,0
AT0044,Kirchliche Pädagogische Hochschule Edith Stein,2016,AT,private,uni,,46.53,542.69,11.663228024930156,,0,0,,,,,0,0
AT0045,Pädagogische Hochschule Vorarlberg,2016,AT,public,uni,,46.91,672.83,14.34299722873588,,0,0,,,,,1,0
AT0046,Pädagogische Hochschule Wien,2016,AT,public,uni,,186.65,3966.94,21.25336190731316,,0,0,,,,,0,0
AT0047,Kirchliche Pädagogische Hochschule Wien/Krems,2016,AT,private,uni,,157.82,3793.26,24.03535673552148,,0,0,,,,,0,0
AT0048,Hochschule für Agrar- und Umweltpädagogik Wien,2016,AT,public,uni,,27.95,489.37,17.5087656529517,,0,0,,,,,1,0
AT0049,Fachhochschule Burgenland GmbH,2016,AT,private government dependent,other,329.0,250.25,2853.02,11.400679320679322,0.7606382978723404,0,0,,,,,0,0
AT0050,Fachhochschule Salzburg GmbH,2016,AT,private government dependent,other,570.0,462.0,2865.28,6.201904761904763,0.8105263157894737,0,0,,,,,1,0
AT0051,Fachhochschule St. Pölten GmbH,2016,AT,private government dependent,other,478.0,316.75,2623.47,8.282462509865825,0.6626569037656904,0,0,,,,,1,0
AT0052,CAMPUS 02 Fachhochschule der Wirtschaft GmbH,2016,AT,private government dependent,other,177.75,138.0,1247.74,9.041594202898553,0.7763713080168776,0,0,,,,,1,0
