ETER ID,Institution Name,Reference year,Country Code,Legal status,Institution Category standardized,Region of establishment (NUTS 2),Personnel expenditure (PPP),Total Current expenditure (PPP),Basic government allocation (PPP),Total Current revenues (PPP),Total academic staff (FTE),Total staff (FTE),Total students enrolled ISCED 5-7,Total graduates ISCED 5-7,Total students enrolled at ISCED 8,Total graduates at ISCED 8,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,Target,Flag Total Students ISCED 5-7,Flag Total Students ISCED 5,Flag Total Students ISCED 6,Flag Total Students ISCED 7,Flag Total Students ISCED 7 long degree,Flag Total Students ISCED 8,Flag Total Graduates ISCED 5-7,Flag Total Graduates ISCED 5,Flag Total Graduates ISCED 6,Flag Total Graduates ISCED 7,Flag Total Graduates ISCED 7 long degree,Flag Total Graduates ISCED 8,Flag Total Staff FTE,Flag Total Staff HC,Flag Academic Staff FTE,Flag Academic Staff HC,Flag Non-Academic Staff FTE,Flag Total current revenues (NC),Flag Total current expenditures (NC)
AT0015,Medizinische Universität Graz,2016,AT,public,uas,AT22,137656337.84,227788127.36,180182201.69,240512486.28,994.27,1841.95,3217.0,526.83,346.57,53.0,3.235539642149517,0.5397920681886045,74734.02526670105,0.604317439347687,0.9470948094346066,0.7491594489619776,0.16376437674852348,6.539056603773584,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT0016,Medizinische Universität Innsbruck,2016,AT,public,uas,AT33,121201602.03,205466275.51,170159355.93,213756733.78,908.25,1554.97,2505.42,347.5,305.83,45.0,2.7585136251032205,0.5840948699974919,77944.65618629298,0.5898856234637939,0.9612154521478952,0.7960420844806193,0.13869929991777824,6.796222222222222,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AT0017,Akademie der bildenden Künste Wien,2016,AT,public,uas,AT13,17695205.71,28106828.59,25638049.03,29636711.53,153.34,285.41,1033.29,139.0,199.27,8.0,6.738554845441503,0.5372621842262009,61999.249185382425,0.6295696312139498,0.94837878897423,0.8650773890364887,0.13452177026778542,24.90875,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
AT0018,Universität für angewandte Kunst Wien,2016,AT,public,uas,AT13,25976822.1,36935881.59,34137102.88,38356220.01,235.81,402.79,1153.2,194.0,200.89,13.0,4.8903778465713925,0.585441545222076,64492.222001539274,0.7032950340363054,0.9629698020391558,0.8900017486368571,0.16822754075615678,15.453076923076924,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT0019,Universität für Musik und darstellende Kunst Wien,2016,AT,public,uas,AT13,65834701.62,84309335.33,84661355.23,89913161.68,595.55,884.05,1973.18,329.5,149.92,17.0,3.3132062799093283,0.6736609920253379,74469.43229455348,0.7808708414354427,0.9376751273640674,0.9415902371591478,0.16698932687337192,8.818823529411764,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AT0020,Universität Mozarteum Salzburg,2016,AT,public,uas,AT32,33877520.95,46648022.01,44407050.23,50008961.46,301.41,438.34,1298.61,287.67,78.83,4.0,4.308450283666765,0.6876169183738652,77285.94458639414,0.7262370297874073,0.932793256410888,0.8879818523229935,0.22152147295954908,19.7075,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT0021,Universität für Musik und darstellende Kunst Graz,2016,AT,public,uas,AT22,34368101.79,45467092.91,45438808.97,50074358.27,295.35,455.61,1383.31,291.5,80.25,16.0,4.68362959200948,0.6482517942977547,75433.15947850134,0.7558895805815002,0.90799152462109,0.9074266858297972,0.2107264459882456,5.015625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT0022,Universität für künstlerische und industrielle Gestaltung Linz,2016,AT,public,uas,AT31,13251973.21,19354825.73,16743030.78,20661174.82,133.68,221.04,974.01,169.0,75.33,10.0,7.286131059245959,0.6047774158523345,59952.828492580535,0.6846857416783365,0.9367727585008644,0.8103619917969408,0.1735095122226671,7.532999999999999,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT0023,Katholische Privatuniversität Linz,2016,AT,private,uas,AT31,,,,,50.12,62.58,269.32,28.5,24.83,4.0,5.373503591380687,0.8008948545861297,,,,,0.10582207039952474,6.2075,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AT0025,"Private Universität für Gesundheitswissenschaften, Medizinische Informatik und Technik",2016,AT,private,uas,AT33,,,,,87.75,126.22,726.62,248.5,104.0,11.0,8.2805698005698,0.6952147044842338,,,,,0.3419944400099089,9.454545454545457,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
